City,State,Year 2017,Year 2018
Broomfield city, Colorado,68232,69267
Camarillo city, California,67549,69127
Daytona Beach city, Florida,68103,68866
Eau Claire city, Wisconsin,68596,68866
North Port city, Florida,66365,68628
Greenville city, South Carolina,68268,68563
Muncie city, Indiana,68951,68529
Union City city, New Jersey,68472,68520
Bowling Green city, Kentucky,67274,68401
Gaithersburg city, Maryland,68031,68289
Rockville city, Maryland,67895,68268
Dothan city, Alabama,68217,68247
Bossier City city, Louisiana,68377,68235
Lake Elsinore city, California,66120,68183
Palatine village, Illinois,68555,68053
St. Cloud city, Minnesota,67999,68043
Waterloo city, Iowa,67743,67798
Yorba Linda city, California,67999,67787
South San Francisco city, California,67212,67733
Redmond city, Washington,64943,67678
Rogers city, Arkansas,66482,67600
Mount Vernon city, New York,67915,67593
Redondo Beach city, California,67609,67412
Rocklin city, California,64738,67221
Ames city, Iowa,66285,67154
Victoria city, Texas,67112,67015
Lodi city, California,65629,66995
Yuba City city, California,66707,66992
Jackson city, Tennessee,66781,66903
Johnson City city, Tennessee,66193,66778
Oshkosh city, Wisconsin,66568,66729
Palo Alto city, California,67219,66666
Kenner city, Louisiana,67006,66657
West Des Moines city, Iowa,65562,66641
Eagan city, Minnesota,66641,66527
Conway city, Arkansas,65563,66426
Portland city, Maine,66723,66417
Rowlett city, Texas,63053,66285
Laguna Niguel city, California,66105,66266
Alpharetta city, Georgia,65699,66255
North Little Rock city, Arkansas,65911,66127
Tamarac city, Florida,65574,66054
Lehi city, Utah,63654,66037
Lakeville city, Minnesota,63748,65877
Shawnee city, Kansas,65532,65845
Auburn city, Alabama,64082,65738
Sammamish city, Washington,65009,65733
Madera city, California,65068,65706
Schenectady city, New York,65352,65575
Jupiter town, Florida,64888,65524
Harlingen city, Texas,65396,65436
Ankeny city, Iowa,62389,65284
Blaine city, Minnesota,64393,65212
Wellington village, Florida,64788,65200
Bayonne city, New Jersey,65347,65083
Youngstown city, Ohio,64590,64958
San Clemente city, California,65043,64857
Castle Rock town, Colorado,62125,64827
Eastvale city, California,63073,64822
Santa Cruz city, California,64860,64725
Janesville city, Wisconsin,64321,64565
Tulare city, California,63610,64475
East Orange city, New Jersey,64367,64457
Pflugerville city, Texas,63371,64431
Eden Prairie city, Minnesota,64208,64334
Port Orange city, Florida,63123,64252
Haverhill city, Massachusetts,63669,64041
Lorain city, Ohio,63778,64028
Cheyenne city, Wyoming,63587,63957
Brentwood city, California,62271,63800
San Marcos city, Texas,63058,63509
Dublin city, California,60739,63445
Grand Junction city, Colorado,62222,63374
Skokie village, Illinois,63898,63280
Noblesville city, Indiana,61780,63133
North Miami city, Florida,61042,62996
Springfield city, Oregon,62418,62979
Waltham city, Massachusetts,62919,62962
Encinitas city, California,62941,62904
Pico Rivera city, California,63241,62888
Montebello city, California,62916,62632
Coon Rapids city, Minnesota,62515,62527
Council Bluffs city, Iowa,62424,62421
La Habra city, California,62230,62183
Hamilton city, Ohio,62135,62174
Moore city, Oklahoma,61588,62103
Petaluma city, California,60708,61917
Doral city, Florida,60933,61824
Idaho Falls city, Idaho,61164,61535
National City city, California,61149,61431
Coconut Creek city, Florida,61066,61361
Millcreek city, Utah,60768,61270
Burnsville city, Minnesota,61464,61203
Taylor city, Michigan,61373,61148
