,Metro Area,2012 Pop,2012 Household Income,2017 Pop,2017 Household Income
224,"Martinsville, VA Micro Area",67825,33730,65212,36338
225,"Maryville, MO Micro Area",23305,37815,22744,41370
226,"Mason City, IA Micro Area",51664,45664,50636,50621
227,"Mayfield, KY Micro Area",37200,36698,37259,40369
228,"Maysville, KY Micro Area",31384,34526,17167,43082
229,"McAlester, OK Micro Area",45570,41206,44673,44941
230,"McAllen-Edinburg-Mission, TX Metro Area",774820,33218,839539,37097
231,"McComb, MS Micro Area",53439,33434,52337,30772
232,"McMinnville, TN Micro Area",39767,34008,40210,36765
233,"McPherson, KS Micro Area",29208,54171,28792,56946
234,"Meadville, PA Micro Area",88492,41664,86847,47179
235,"Medford, OR Metro Area",203613,43664,212070,48688
236,"Memphis, TN-MS-AR Metro Area",1317314,47477,1344058,50194
237,"Menomonie, WI Micro Area",43788,47847,44260,54605
238,"Merced, CA Metro Area",256398,43565,267390,46338
239,"Meridian, MS Micro Area",107283,35172,104392,38774
240,"Merrill, WI Micro Area",28710,48293,27994,54203
241,"Mexico, MO Micro Area",25617,41387,25763,44056
242,"Miami, OK Micro Area",31940,36280,31725,38472
243,"Michigan City-La Porte, IN Metro Area",111335,47754,110839,49921
244,"Middlesborough, KY Micro Area",28613,25952,27469,23558
245,"Midland, TX Metro Area",138472,59391,165430,75570
246,"Milledgeville, GA Micro Area",55800,32623,54194,35197
247,"Milwaukee-Waukesha-West Allis, WI Metro Area",1554593,53966,1575101,57531
248,"Mineral Wells, TX Micro Area",28010,43041,28109,45067
249,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3290811,66751,3526149,73735
250,"Minot, ND Micro Area",69959,52415,78122,64032
251,"Missoula, MT Metro Area",109402,44653,114231,49412
252,"Mitchell, SD Micro Area",22879,48180,23157,50463
253,"Moberly, MO Micro Area",25388,38067,24987,44754
254,"Mobile, AL Metro Area",412297,42973,414328,45802
255,"Modesto, CA Metro Area",515115,49866,535684,54260
256,"Monroe, LA Metro Area",176385,38634,178970,39904
257,"Monroe, MI Metro Area",151944,54588,149619,59479
258,"Montgomery, AL Metro Area",374600,47317,373507,49089
259,"Montrose, CO Micro Area",40994,47139,40908,44865
260,"Morehead City, NC Micro Area",66415,47506,68699,51584
261,"Morgan City, LA Micro Area",54285,40738,52578,41345
262,"Morgantown, WV Metro Area",129888,42751,137475,48622
263,"Morristown, TN Metro Area",136682,37677,116352,43683
264,"Moscow, ID Micro Area",37365,39466,38697,43310
265,"Moses Lake, WA Micro Area",88885,45531,93420,52382
266,"Moultrie, GA Micro Area",45531,33186,45890,34503
267,"Mountain Home, AR Micro Area",41387,35209,41093,40072
268,"Mountain Home, ID Micro Area",26655,43886,26232,45154
269,"Mount Airy, NC Micro Area",73551,36137,72315,39071
270,"Mount Pleasant, MI Micro Area",70186,35927,70572,42771
271,"Mount Pleasant, TX Micro Area",32045,40909,32664,46980
272,"Mount Sterling, KY Micro Area",44513,32342,46120,40847
273,"Augusta-Richmond County, GA-SC Metro Area",556938,45762,589519,49064
274,"Augusta-Waterville, ME Micro Area",122022,47424,121289,50116
275,"Austin, MN Micro Area",39115,46239,39386,53700
276,"Bainbridge, GA Micro Area",27815,30061,27023,36934
277,"Bangor, ME Metro Area",153742,43382,152284,47886
278,"Baraboo, WI Micro Area",61953,52355,63340,54447
279,"Barnstable Town, MA Metro Area",216021,60424,213900,68048
280,"Barre, VT Micro Area",59462,57276,58691,60602
281,"Bartlesville, OK Micro Area",51112,47959,51867,50388
282,"Bastrop, LA Micro Area",27893,31447,26290,31672
283,"Batavia, NY Micro Area",59992,51734,58537,54033
284,"Batesville, AR Micro Area",36572,34374,37097,39945
285,"Baton Rouge, LA Metro Area",802389,51383,828741,55329
286,"Battle Creek, MI Metro Area",136063,42164,134327,46213
287,"Bay City, MI Metro Area",107633,46068,105350,45983
288,"Bay City, TX Micro Area",36653,43146,36744,44896
289,"Beatrice, NE Micro Area",22209,46164,21632,52223
290,"Beaumont-Port Arthur, TX Metro Area",388430,45955,408663,48962
291,"Beaver Dam, WI Micro Area",88741,53782,87833,56038
292,"Bedford, IN Micro Area",46131,41600,45669,49985
293,"Beeville, TX Micro Area",32083,40707,32729,45415
294,"Bellefontaine, OH Micro Area",45816,47345,45323,53051
295,"Bellingham, WA Metro Area",201404,51639,212738,56419
296,"Bemidji, MN Micro Area",44652,44038,45847,45923
297,"Bennettsville, SC Micro Area",28750,28612,27505,33921
298,"Bennington, VT Micro Area",36990,48938,36054,52251
299,"Berlin, NH-VT Micro Area",39188,40854,38322,44120
300,"Big Rapids, MI Micro Area",42947,38332,43181,43470
301,"Big Spring, TX Micro Area",34927,43393,37911,51084
302,"Billings, MT Metro Area",158248,50415,167545,57812
303,"Binghamton, NY Metro Area",250995,48114,245446,50673
304,"Birmingham-Hoover, AL Metro Area",1128093,48420,1144097,52088
305,"Bismarck, ND Metro Area",109380,58858,128673,66467
306,"Blackfoot, ID Micro Area",45312,46817,45369,51307
307,"Blacksburg-Christiansburg-Radford, VA Metro Area",162708,43131,181863,50409
308,"Bloomington, IN Metro Area",192663,40240,165393,46146
309,"Bluefield, WV-VA Micro Area",107097,35088,103652,39073
310,"Blytheville, AR Micro Area",46388,35651,43534,36417
311,"Bogalusa, LA Micro Area",47025,30490,46449,32962
312,"Bonham, TX Micro Area",33867,43382,33787,47875
313,"Boone, IA Micro Area",26324,51284,26381,57906
314,"Boone, NC Micro Area",51103,34848,53421,41541
315,"Borger, TX Micro Area",21992,46677,21704,50035
316,"Boulder, CO Metro Area",297218,67403,316782,75669
317,"Bowling Green, KY Metro Area",125928,42695,169250,46716
318,"Bozeman, MT Micro Area",90339,52211,100733,59397
319,"Bradford, PA Micro Area",43451,41351,42070,45866
320,"Brainerd, MN Micro Area",91040,45829,92315,52126
321,"Branson, MO Micro Area",83564,40667,85837,41135
322,"Bremerton-Silverdale, WA Metro Area",251400,61776,258903,68336
323,"Brenham, TX Micro Area",33628,44162,34667,55793
324,"Brevard, NC Micro Area",32825,40678,33291,44559
325,"Bridgeport-Stamford-Norwalk, CT Metro Area",918892,82614,947328,89773
326,"Brookhaven, MS Micro Area",34850,37176,34542,37308
327,"Brookings, OR Micro Area",22344,38401,22377,42519
328,"Brookings, SD Micro Area",31973,47093,33697,53473
329,"Brownsville, TN Micro Area",18673,32827,17944,36118
330,"Brownsville-Harlingen, TX Metro Area",405819,32558,420201,36095
331,"Brownwood, TX Micro Area",38018,40821,37787,43062
332,"Brunswick, GA Metro Area",112026,45979,115939,44887
333,"Bucyrus, OH Micro Area",43623,41877,42231,41726
334,"Burley, ID Micro Area",42722,43180,43920,48095
335,"Burlington, IA-IL Micro Area",47543,44241,46803,47511
336,"Burlington, NC Metro Area",151170,44155,157844,44281
337,"Burlington-South Burlington, VT Metro Area",211581,61603,216751,65476
338,"Butte-Silver Bow, MT Micro Area",34164,39211,34514,40480
339,"Cadillac, MI Micro Area",47639,40572,47897,42631
